-0.01,-0.43,0.11,-29.63
0.14,0.12,-0.42,9.57
-0.09,-0.10,0.24,-7.74
0.12,0.48,0.10,36.67
-0.33,-0.19,-0.06,-22.04
0.00,-0.06,-0.08,-4.08
0.41,0.09,0.03,16.75
0.18,-0.23,-0.05,-12.23
-0.12,0.04,0.31,1.55
-0.36,0.03,-0.12,-7.64
-0.18,0.34,0.21,20.70
0.41,-0.42,0.02,-19.31
-0.06,0.33,0.38,23.29
-0.28,-0.07,-0.49,-13.95
0.46,0.33,0.31,35.69
-0.08,-0.60,0.11,-43.19
-0.06,0.33,0.12,22.41
0.09,-0.01,-0.22,0.27
-0.02,0.12,0.31,9.23
0.34,-0.16,0.32,-0.89
-0.36,-0.17,-0.40,-23.13
-0.09,-0.12,0.34,-8.76
0.54,0.24,0.08,30.78
-0.81,-0.34,-0.02,-44.38
0.40,0.12,-0.10,18.27
0.08,-0.02,0.74,4.22
0.19,0.12,-0.34,11.04
-0.42,-0.26,0.27,-27.02
0.53,-0.06,-0.06,8.40
-0.29,0.13,0.06,2.63
-0.09,-0.10,0.33,-7.59
0.10,0.34,-0.05,25.67
-0.02,-0.02,0.09,-1.28
0.42,-0.32,-0.07,-12.33
-0.80,0.14,0.19,-9.04
0.68,-0.20,-0.03,2.55
-0.34,0.02,-0.09,-7.38
0.06,-0.11,0.17,-5.44
-0.49,0.45,0.20,20.58
0.44,-0.45,0.08,-20.49
0.15,0.11,-0.52,8.86
-0.18,0.08,0.20,2.29
-0.01,-0.15,0.31,-9.20
0.04,-0.11,-0.04,-6.47
0.22,0.35,0.07,29.84
-0.41,-0.27,0.31,-27.14
0.03,0.14,-0.43,8.39
-0.02,-0.32,0.11,-22.91
0.04,0.19,0.57,17.05
0.07,0.08,-0.48,5.08
0.21,0.14,0.20,16.02
-0.12,-0.62,0.11,-45.50
0.08,0.54,-0.19,38.68
-0.24,-0.14,-0.31,-17.54
-0.24,-0.01,0.66,-2.92
-0.03,-0.01,-0.32,-3.60
0.25,0.12,-0.27,13.76
0.05,-0.44,0.31,-27.93
0.08,0.42,0.58,33.96
-0.49,0.12,-0.27,-4.90
0.65,-0.08,-0.55,8.00
0.03,0.29,0.33,22.78
-0.44,-0.49,0.07,-45.44
0.13,0.28,-0.12,22.44
0.16,-0.09,0.11,-2.13
-0.53,0.26,-0.12,4.38
0.37,0.03,0.22,13.14
0.10,-0.17,-0.24,-11.22
-0.06,0.34,-0.14,21.73
0.13,-0.22,0.10,-11.29
-0.16,0.10,-0.28,1.49
-0.12,0.41,0.13,26.12
0.01,0.16,-0.10,10.91
0.04,-0.70,0.08,-47.23
-0.20,0.15,-0.28,3.83
0.12,0.10,0.23,11.22
0.21,0.13,-0.08,13.56
-0.29,0.06,0.33,-1.20
0.38,-0.13,-0.22,-0.58
-0.19,0.70,0.01,43.97
0.22,-0.29,-0.31,-15.87
-0.45,-0.02,0.22,-11.55
0.33,-0.01,-0.47,5.16
-0.12,-0.02,0.32,-2.67
-0.44,0.11,-0.42,-5.58
0.53,0.25,0.12,31.34
0.07,-0.43,0.02,-28.47
-0.32,0.31,-0.13,12.94
0.04,-0.13,-0.10,-8.14
-0.22,0.17,0.16,7.25
0.60,0.40,-0.21,41.68
-0.45,-0.79,-0.11,-66.90
0.48,0.76,0.33,66.44
-0.25,-0.31,-0.02,-27.99
0.23,-0.01,-0.22,3.84
-0.35,0.25,-0.08,8.41
0.14,0.30,0.26,26.10
0.32,-0.42,-0.37,-23.18
-0.14,-0.08,0.32,-7.68
